1,-1,0,565,828
2,0,0,451,652
3,1,0,463,1334
4,0,1,600,589
5,1,1,649,650
6,0,1,1275,860
7,0,0,601,1477
8,1,0,931,1322
9,0,0,572,866
10,0,1,478,1122
11,0,1,504,114
12,0,1,904,1921
13,0,0,469,997
14,1,0,669,1667
15,0,0,597,1131
16,0,0,498,958
17,0,1,596,680
18,0,0,533,912
19,1,0,659,800
20,1,0,641,788
21,0,0,935,1461
22,0,1,681,1051
23,1,1,699,724
24,1,0,1806,753
25,1,0,909,819
26,1,0,626,697
27,0,0,421,676
28,0,0,500,485
29,1,0,1506,1239
30,1,1,1018,791
31,1,1,656,836
32,1,0,743,679
33,0,0,770,1169
34,1,1,1220,604
35,1,1,815,1437
36,0,1,889,610
37,0,1,1071,741
38,0,1,1001,456
39,1,1,659,1127
40,1,1,621,1528
41,1,1,930,854
42,0,1,1176,1015
43,0,0,560,636
44,0,0,732,858
45,1,1,967,901
46,1,1,828,1022
47,0,1,1199,1479
48,1,1,932,1198
49,1,1,861,738
50,1,1,829,1201
51,1,1,731,1160
52,0,1,626,1260
53,0,1,548,1248
54,1,1,747,956
55,0,0,893,928
56,1,0,947,1039
57,1,0,1114,713
58,1,0,649,821
59,1,0,648,866
60,0,0,576,961
61,1,1,997,1138
62,1,1,723,1377
63,1,1,819,773
64,0,1,562,1071
65,1,0,751,1188
66,0,0,670,862
67,0,1,716,1260
68,1,1,983,1122
69,1,0,830,1161
70,1,0,781,936
71,0,0,455,549
72,0,1,1207,1531
73,1,1,747,1467
74,1,0,1017,787
75,1,0,873,1008
76,0,0,983,957
77,1,1,794,1163
78,0,1,883,1237
79,1,0,736,965
80,1,0,862,727
81,1,0,610,1594
82,1,1,991,1464
83,1,0,843,1650
84,1,0,957,765
85,1,0,926,1337
86,0,0,574,764
87,0,1,1649,1260
88,1,0,958,1155
89,0,1,656,1071
90,1,0,1017,725
91,0,1,614,859
92,0,1,1664,662
93,1,1,732,576
94,1,1,768,1642
95,0,0,654,1034
96,1,1,1027,1020
97,0,1,952,1091
98,1,1,666,1112
99,1,0,846,1887
100,1,0,629,1303
101,0,1,788,1184
102,1,1,805,935
103,1,0,932,1138
104,0,1,517,986
105,1,1,792,1135
106,1,1,730,817
107,1,0,655,1209
108,0,1,681,920
109,0,0,757,781
110,1,0,1096,822
111,0,0,640,863
112,1,0,650,767
113,0,0,365,617
114,1,0,904,896
115,1,1,853,843
116,1,1,779,790
117,1,0,976,562
118,0,0,539,960
119,1,0,593,779
120,1,1,1542,1315
