1,-1,1,626,730
2,1,0,433,603
3,1,1,369,569
4,1,1,388,793
5,1,0,465,1002
6,0,0,576,970
7,0,0,466,1019
8,1,1,562,585
9,0,0,353,793
10,0,1,483,938
11,0,1,259,890
12,1,1,385,702
13,1,0,387,539
14,1,1,577,458
15,1,0,449,810
16,0,0,545,827
17,0,1,642,1339
18,0,1,511,730
19,0,0,417,794
20,1,1,338,714
21,1,1,350,746
22,0,1,448,747
23,0,0,288,522
24,1,0,272,602
25,1,0,273,890
26,0,0,227,1289
27,0,0,177,746
28,0,0,512,1161
29,1,1,434,856
30,0,0,304,793
31,1,0,273,699
32,1,1,382,730
33,0,0,464,841
34,0,0,402,827
35,1,0,399,443
36,1,0,415,425
37,1,0,386,394
38,1,0,464,427
39,1,1,402,409
40,1,1,352,1161
41,1,1,316,602
42,1,1,334,698
43,0,1,446,634
44,1,0,415,538
45,1,1,447,570
46,1,0,335,569
47,1,0,417,680
48,0,0,481,474
49,0,0,412,730
50,1,0,446,458
51,0,0,349,920
52,0,0,351,650
53,1,0,428,459
54,1,0,370,474
55,0,0,338,922
56,1,0,450,793
57,1,0,420,666
58,0,1,398,698
59,1,1,332,1113
60,0,1,444,585
61,0,1,499,969
62,0,0,370,539
63,1,1,397,475
64,1,1,353,441
65,1,1,399,425
66,0,1,339,602
67,1,0,386,522
68,0,1,369,571
69,0,1,353,538
70,0,1,369,1112
71,0,1,593,682
72,0,0,620,666
73,1,0,366,426
74,1,0,369,554
75,0,1,417,554
76,1,0,401,1034
77,0,0,509,825
78,1,1,337,921
79,1,1,383,699
80,1,0,411,986
81,1,0,410,809
82,1,1,417,633
83,0,1,410,585
84,0,1,315,859
85,1,1,586,682
86,1,0,433,651
87,0,1,347,443
88,1,1,441,922
89,0,1,379,490
90,0,1,492,745
91,0,1,507,1274
92,1,0,633,922
93,0,1,415,650
94,0,0,671,539
95,0,1,474,587
96,0,0,448,699
97,0,0,545,779
98,1,1,415,651
99,1,1,522,1003
100,1,1,344,922
101,1,0,380,474
102,0,0,714,553
103,0,1,392,811
104,1,0,385,842
105,1,1,361,651
106,0,1,411,828
107,1,0,461,906
108,1,1,343,650
109,0,0,417,618
110,1,0,440,1004
111,1,1,367,634
112,1,1,320,554
113,1,1,408,875
114,0,0,1300,533
115,1,1,432,906
116,0,0,448,729
117,1,0,392,587
118,0,0,362,634
119,1,1,313,491
120,0,0,456,583
121,1,1,388,481
122,1,0,376,490
123,0,1,359,730
124,0,0,439,506
125,0,1,379,634
